doc_id,domain,task,public_status,source_path,paper_ready,source_provenance_issue,rendered_pages,textlayer_spans,mineable_candidates,review_rows,open_review_rows,packeted_open_review_rows,unpacketed_open_review_rows,fresh_open_review_rows,rights_blocked_open_review_rows,stale_open_review_rows,mergeable_review_rows,missing_review_evidence_rows,unique_open_review_rows,unique_packeted_open_review_rows,unique_fresh_open_review_rows,fresh_missing_review_evidence_rows,gold_rows,gold_microtext_rows,gold_visualdiff_rows,staged_future_rows,staged_future_capacity_path,conversion_exhaustion_status,conversion_exhaustion_evidence,duplicate_payload_alias,next_step,priority_score,source_url
nasa_20240015687_transit_habitat_rcs_propulsion,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_09_01_wave1737_nasa_transit_habitat_rcs/20240015687.pdf,True,,12,223,0,6002,2916,1081,1835,0,0,1835,0,0,1725,190,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,406,https://ntrs.nasa.gov/citations/20240015687
nasa_19810009690_coal_gasification_process_flows,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_09_01_wave1646_nasa_coal_gasification_process_flows/19810009690.pdf,True,,11,709,0,1132,740,348,392,0,0,392,0,0,581,189,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,404,https://ntrs.nasa.gov/citations/19810009690
nasa_19810021977_epsdu_equipment_procurement,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_09_01_wave1769_nasa_epsdu_procurement/19810021977.pdf,True,,29,1164,0,7808,3517,524,2993,0,0,2993,0,0,3144,159,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,344,https://ntrs.nasa.gov/citations/19810021977
nasa_19790021033_lunar_separation_process_flow,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_08_31_wave1632_nasa_lunar_separation_process_flow/19790021033.pdf,True,,4,0,0,512,334,156,178,0,0,178,0,0,271,93,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,212,https://ntrs.nasa.gov/citations/19790021033
nasa_19850007982_gas_cooled_fuel_cell_systems,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_09_01_wave1670_nasa_fuel_cell_systems/19850007982.pdf,True,,5,192,0,82,82,82,0,0,0,0,0,0,82,82,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,190,https://ntrs.nasa.gov/citations/19850007982
nasa_20100035154_lo2_pdu_facility_pid,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_08_30_wave1553_nasa_lo2_pdu_pid/20100035154.pdf,True,,6,10,0,36,36,36,0,0,0,0,0,0,36,36,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,98,https://ntrs.nasa.gov/citations/20100035154
nasa_20080002287_mg_co2_combustor_pid,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_08_31_wave1620_nasa_mg_co2_combustor_pid/20080002287.pdf,True,,1,49,10,170,116,62,54,0,0,54,0,0,85,31,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,88,https://ntrs.nasa.gov/citations/20080002287
nasa_20205001821_mlpv_sparge_system_revision,civil_architectural,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_08_30_wave1531_nasa_mlpv_revision/20205001821.pdf,True,,2,490,0,52,48,48,0,0,0,0,0,0,24,24,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,74,https://ntrs.nasa.gov/citations/20205001821
nasa_19650009673_pipeline_valve_test_facility,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/nasa_19650009673_pipeline_valve_test_facility.pdf,True,,4,228,0,84,84,84,0,0,0,0,0,0,14,14,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,54,https://ntrs.nasa.gov/citations/19650009673
wikimedia_engineering_drawing_dessin_de_definition,mechanical_cad,microtext,public_domain_commons_candidate,microtext/docs/wikimedia_engineering_drawing_dessin_de_definition.png,True,,1,0,0,22,20,18,2,0,0,2,0,0,12,10,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,46,https://commons.wikimedia.org/wiki/File:Engineering_drawing-dessin_de_definition.png
nasa_19690006881_lh2_pump_instrumentation,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/nasa_19690006881_lh2_pump_instrumentation.pdf,True,,2,264,0,54,54,54,0,0,0,0,0,0,9,9,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,44,https://ntrs.nasa.gov/citations/19690006881
